#index	label	wavelength	comment
417	NIRb      3.00000m		continuum bands defined in continuum_bands.ini
418	MIRa      15.0000m		continuum bands defined in continuum_bands.ini
419	MIRb      22.5000m		continuum bands defined in continuum_bands.ini
420	NMIR      21.7500m		continuum bands defined in continuum_bands.ini
421	TFIR      611.250m		continuum bands defined in continuum_bands.ini
422	TALL      10000.0A		continuum bands defined in continuum_bands.ini
423	F12       12.0000m		continuum bands defined in continuum_bands.ini
424	F25       25.0000m		continuum bands defined in continuum_bands.ini
425	F60       60.0000m		continuum bands defined in continuum_bands.ini
426	F100      100.000m		continuum bands defined in continuum_bands.ini
427	MIPS      24.0000m		continuum bands defined in continuum_bands.ini
428	MIPS      70.0000m		continuum bands defined in continuum_bands.ini
429	MIPS      160.000m		continuum bands defined in continuum_bands.ini
430	IRAC      3.60000m		continuum bands defined in continuum_bands.ini
431	IRAC      4.50000m		continuum bands defined in continuum_bands.ini
432	IRAC      5.80000m		continuum bands defined in continuum_bands.ini
433	IRAC      8.00000m		continuum bands defined in continuum_bands.ini
434	SPR1      250.000m		continuum bands defined in continuum_bands.ini
435	SPR2      350.000m		continuum bands defined in continuum_bands.ini
436	SPR3      500.000m		continuum bands defined in continuum_bands.ini
437	PAC1      70.0000m		continuum bands defined in continuum_bands.ini
438	PAC2      100.000m		continuum bands defined in continuum_bands.ini
439	PAC3      160.000m		continuum bands defined in continuum_bands.ini
440	PAH       3.30000m		continuum bands defined in continuum_bands.ini
441	PAHC      3.23000m		continuum bands defined in continuum_bands.ini
442	PAHC      3.37000m		continuum bands defined in continuum_bands.ini
443	PAH       6.20000m		continuum bands defined in continuum_bands.ini
444	PAHC      5.65000m		continuum bands defined in continuum_bands.ini
445	PAH       7.90000m		continuum bands defined in continuum_bands.ini
446	PAHC      6.90000m		continuum bands defined in continuum_bands.ini
447	PAH       11.3000m		continuum bands defined in continuum_bands.ini
448	PAHC      10.9000m		continuum bands defined in continuum_bands.ini
449	PAH       11.8000m		continuum bands defined in continuum_bands.ini
450	PAHC      12.6500m		continuum bands defined in continuum_bands.ini
451	PAH       13.3000m		continuum bands defined in continuum_bands.ini
452	PAHC      14.1000m		continuum bands defined in continuum_bands.ini
453	Bcon      3640.00A		continuum bands defined in continuum_bands.ini
454	Pcon      5000.00A		continuum bands defined in continuum_bands.ini
455	HFFc            0 		net free-free cooling, ALL species, free-free heating subtracted, so nearly cancels with cooling in LTE 
456	HFFh            0 		net free-free heating, nearly cancels with cooling in LTE 
457	H FF            0 		H brems (free-free) cooling 
458	FF H            0 		total free-free heating 
459	HeFF            0 		He brems emission 
460	MeFB            0 		heavy element recombination cooling 
461	MeFF            0 		heavy elements (metals) brems cooling, heat not subtracted 
462	ToFF            0 		total brems emission - total cooling but not minus heating 
463	FF X            0 		part of H brems, in x-ray beyond 0.5KeV 
464	eeff            0 		electron - electron brems 
465	Mion            0 		cooling due to collisional ionization of heavy elements
466	nFnu      23.5131c		total continuum at selected energy points 
467	nInu      23.5131c		transmitted and reflected incident continuum at selected energy points 
468	InwT      23.5131c		total reflected continuum, total inward emission plus reflected (XXdiffuseXX) total continuum 
469	InwC      23.5131c		reflected incident continuum (only incident) 
470	nFnu      20.4636c		total continuum at selected energy points 
471	nInu      20.4636c		transmitted and reflected incident continuum at selected energy points 
472	InwT      20.4636c		total reflected continuum, total inward emission plus reflected (XXdiffuseXX) total continuum 
473	InwC      20.4636c		reflected incident continuum (only incident) 
474	nFnu      6.61064c		total continuum at selected energy points 
475	nInu      6.61064c		transmitted and reflected incident continuum at selected energy points 
476	InwT      6.61064c		total reflected continuum, total inward emission plus reflected (XXdiffuseXX) total continuum 
477	InwC      6.61064c		reflected incident continuum (only incident) 
478	nFnu      6.13700c		total continuum at selected energy points 
479	nInu      6.13700c		transmitted and reflected incident continuum at selected energy points 
480	InwT      6.13700c		total reflected continuum, total inward emission plus reflected (XXdiffuseXX) total continuum 
481	InwC      6.13700c		reflected incident continuum (only incident) 
482	nFnu      3.55415c		total continuum at selected energy points 
483	nInu      3.55415c		transmitted and reflected incident continuum at selected energy points 
484	InwT      3.55415c		total reflected continuum, total inward emission plus reflected (XXdiffuseXX) total continuum 
485	InwC      3.55415c		reflected incident continuum (only incident) 
486	nFnu      3.43208c		total continuum at selected energy points 
487	nInu      3.43208c		transmitted and reflected incident continuum at selected energy points 
488	InwT      3.43208c		total reflected continuum, total inward emission plus reflected (XXdiffuseXX) total continuum 
489	InwC      3.43208c		reflected incident continuum (only incident) 
490	nFnu      3.40000c		total continuum at selected energy points 
491	nInu      3.40000c		transmitted and reflected incident continuum at selected energy points 
492	InwT      3.40000c		total reflected continuum, total inward emission plus reflected (XXdiffuseXX) total continuum 
493	InwC      3.40000c		reflected incident continuum (only incident) 
494	nFnu      2.00329c		total continuum at selected energy points 
495	nInu      2.00329c		transmitted and reflected incident continuum at selected energy points 
496	InwT      2.00329c		total reflected continuum, total inward emission plus reflected (XXdiffuseXX) total continuum 
497	InwC      2.00329c		reflected incident continuum (only incident) 
498	nFnu      1.33478c		total continuum at selected energy points 
499	nInu      1.33478c		transmitted and reflected incident continuum at selected energy points 
500	InwT      1.33478c		total reflected continuum, total inward emission plus reflected (XXdiffuseXX) total continuum 
501	InwC      1.33478c		reflected incident continuum (only incident) 
502	nFnu      9993.08m		total continuum at selected energy points 
503	nInu      9993.08m		transmitted and reflected incident continuum at selected energy points 
504	InwT      9993.08m		total reflected continuum, total inward emission plus reflected (XXdiffuseXX) total continuum 
505	InwC      9993.08m		reflected incident continuum (only incident) 
506	nFnu      6917.22m		total continuum at selected energy points 
507	nInu      6917.22m		transmitted and reflected incident continuum at selected energy points 
508	InwT      6917.22m		total reflected continuum, total inward emission plus reflected (XXdiffuseXX) total continuum 
509	InwC      6917.22m		reflected incident continuum (only incident) 
510	nFnu      122.400m		total continuum at selected energy points 
511	nInu      122.400m		transmitted and reflected incident continuum at selected energy points 
512	InwT      122.400m		total reflected continuum, total inward emission plus reflected (XXdiffuseXX) total continuum 
513	InwC      122.400m		reflected incident continuum (only incident) 
514	nFnu      60.8322m		total continuum at selected energy points 
515	nInu      60.8322m		transmitted and reflected incident continuum at selected energy points 
516	InwT      60.8322m		total reflected continuum, total inward emission plus reflected (XXdiffuseXX) total continuum 
517	InwC      60.8322m		reflected incident continuum (only incident) 
518	nFnu      41.2152m		total continuum at selected energy points 
519	nInu      41.2152m		transmitted and reflected incident continuum at selected energy points 
520	InwT      41.2152m		total reflected continuum, total inward emission plus reflected (XXdiffuseXX) total continuum 
